date;respo;broker;address;ville;code_postal;asset_type;surface;surface_loue;occupancy_rate;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;prix_m2;surface_office
;EHB;Ilan FEINSOHN (Nexity);9 rue Danielle Casanova;Aubervilliers;93300;Light Industrial;1401;0;0%;;;;;;;1600000;;
;EHB;Ilan FEINSOHN (Nexity);278 rue de Rosny;Montreuil;93100;Light Industrial;3600;0;0%;;;;;70;252000;2950000;819;
;EHB; FEINSOHN Ilan (Nexity);191 Route de Saint-Leu ;Épinay-sur-Seine;93800;Light Industrial;3369;0;0%;;;;;60;202140;3300000;980;
;EHB;David Chataignier;241 avenue Jean Jaurès,;Aubervilliers;93300;Housing;472;472;100%;;;118416;251;250;118000;1450000;3072;
;EHB;PE Maury (Cordell);39 Boulevard de la Muette;Garges-lès-Gonesse;95140;Office;3297;3297;100%;;;278548;84;80;263760;2900000;880;
;EHB;Raphel Lucaz;35 Quai d'Asnières ;Villeneuve la Garenne;92390;Housing;1090;1090;100%;;;218250;200;200;218000;2800000;2569;
;EHB;Charles Albert (BNPRE);3 avenue de l’Amazonie ;Les Ulis;91940;Light Industrial;3353;3353;100%; Narboni;;278245;83;82;274946;2800000;835;
;EHB;Richard Desgroppes (GB);45 rue de la Procession;Paris;75015;Office;1879;0;0,00%;;;;;390;732810;9900000;5269;
;EHB;Michael HAGEGE (CW);8 rue Férou;Paris;75006;Office;1116;0;0,00%;;;;;600;669600;9000000;8065;
;GRO;Charles Albert BNP PARIBAS ;80 Bis rue pierre Semard ;Chatillon;92320;Light Industrial;1108;958;86%; Boostek - SPCV - Otus Ovelia;;99200;104;112;123950;1800000;1879;
;EHB;Antoine Guicheteau (Nexity);Zone de la Bonde rue de l'Aulnaye Dracourt ;Massy;91300;Light Industrial;1023;0;0%;;;;;135;138105;2200000;2151;
;EHB;Arthur Rodriguez (CBRE);17 Rue Pierre Josse;BONDOUFLE;91070;Light Industrial;9493;0;0%;;;;;40;379720;4200000;442;
;EHB;Arthur Rodriguez (CBRE);Rue des Graviers;Saulx les Chartreux;91160;Light Industrial;1679;0;0%;;;;;50;83950;1400000;834;
;EHB;Frederique Guillaumot (CBRE);3 rue des Aerostiers;Noisy le Grand;93160;Light Industrial;13055;0;0%;;;;;50;652750;5500000;421;
;CDU;Antoine RONSSERAY (CORPIMMO);98 Rue du Château;Boulogne Billancourt;92100;Office;1206;0;0%;;;;;300;361800;6500000;5390;
;EHB;Arthur Rodriguez (CBRE);14 Rue Jean Jacques Rousseau;Grigny;91350;Light Industrial;1803;0;0%;;;;;45;81135;1270000;704;
;EHB;Mikael Nataf;7 rue Gauthier 1er;Nemours;77140;Retail;233;233;100%;;;24000;103;100;23300;390000;1674;
;EHB;Charles Albert (BNPRE);Avenue de Châteaudun;Dourdan;91410;Light Industrial;7417;7417;100%;;;339831;46;45;333765;4000000;539;
;EHB;Olivier Lambin (CBRE);18 AVENUE AMPERE;Wissous;91320;Light Industrial;4615;0;0%;;;;;65;299975;3175000;688;
;EHB;Olivier Lambin (CBRE);13 Rue du Docteur Charcot;Morangis;91420;Light Industrial;2517;2260;90%;;;150676;67;70;176190;1800000;715;
;EHB;Geoffroy d’ARCHE (Evolis);27 rue de Vanves;Boulogne-Billancourt;92100;Office;1454;0;0%;;;;;280;407120;6000000;4127;
;EHB;Jérôme Mainguy (Strategim Partner);15 Route de Fontainebleau;Vitry-sur-Seine;94400;Light Industrial;7600;4040;53%;;;586220;145;150;1140000;23000000;3026;
;EHB;Jérôme Mainguy (Strategim Partner);5 Boulevard de Créteil;Saint-Maur des Fossés;94100;Light Industrial;7020;5171;74%;;;352907;68;85;490415;4000000;570;
;EHB;Arthur HELIN (CBRE);6 Rue des Maronniers  ;L'hay les Roses;94240;Light Industrial;953;0;0%;;;;;100;95300;1250000;;
;CDU;Nadia MEUNIER (Nexity);rue Professeur Paul Milliez ;Champigny sur marne;94500;Light Industrial;3300;0;0%;;;;;;;3500000;;
;EHB;Lucien Renaudin (COGIB) ;328 Bis rue de Paris ;Villeneuve Saint Georges;94190;Housing;1149;228;20%;;;57000;250;;;695000;3048;
;GRO;Charles-Henri ADOU (CBRE);5-11 Rue Henri Bequerel;Mitry Mory;77290;Light Industrial;4968;4527;91%; Randstad- Maisons Pierre - Watefaugle etc;;344000;76;;;3300000;;
;;Jeremie Senior (Groupe Babylone);21 rue de louvain;Courbevoie;92400;Housing;800;0;0%;;;;;; -    € ;2000000;2500;
;;Olivier Lambin (CBRE);Rue des Épinants;Etampes;91150;Light Industrial;12670;0;0%;;;;;55;696850;9800000;773;
;;Olivier Lambin (CBRE) Pas de doc;1 avenue Gustave Eiffel;Goussainville;95190;Retail;5980;5980;100%;;;449100;75;;;4620000;773;
;;Guissela Hernando (CBRE);9 Avenue Paul Langevin;Ris-Orangis;91130;Light Industrial;4013;1421;35%;;;92154;65;45;180585;2400000;598;
;;Orane Perran (CBRE);5 Rue du Buisson aux Fraises;Massy;91300;Light Industrial;1800;0;0%;;;;;45;81000;1800000;1000;
03/03/2008;;Olivier Lambin (CBRE);20 Rue des Cerisiers;Lisses;91090;Light Industrial;1717;0;0%;;LOG;;;55;94435;1100000;641;10%
05/08/2015;;Jeremie Senior (Groupe Babylone);26 rue marcadet;Paris;75018;Housing;497;497;100,00%;;LOG;137115;276;328;163227;3000000;6036;0%
08/09/2013;;Jeremie Senior (Groupe Babylone);161 Avenue de Verdun;Ivry sur Seine;94200;Office;7653;2895;38%;;LOG;541187;187;120;918360;8100000;1058;100%
05/05/2017;;Olivier Lambin (CBRE);9 Avenue Denis Papin;Plessis Robinson;92350;Light Industrial;3250;3250;100%;;LOG;280000;86;75;243750;3500000;1077;22%
